inventory_state,entry_id,entry_kind,source_path,source_blob_sha256,line_start,line_end,rule_occurrence_id,rule_family_id,rule_summary,classification,owner,owner_action,required_inputs,interception_point,mechanism_candidate,current_plane,final_plane,disposition,defer_reason,rationale,remaining_witness_or_gap,exclusion_reason
baseline,le-32348f3c9e911be6,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,20,20,ro-51bc3db7d13ba4d9,rf-82b3e1ff4e8bfa1a,3. 次の確認コマンドを実行する。この操作ではファイルを変更しない。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: 3. 次の確認コマンドを実行する。この操作ではファイルを変更しない。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:20-20,
baseline,le-bbb963b40d946082,context,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,21,21,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-e4998a0218d200c3,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,22,26,ro-cbf9853df9fd6112,rf-39b45ed38cdc85dd,"```bash ""$PLUGIN_DIR""/install/install-agents.sh --check --user # または ""$PLUGIN_DIR""/install/install-agents.sh --check --repo <repo-path> ```",deterministic-contract-only,platform installer skill,"platform installer skill applies the `手順` obligation summarized as: ```bash ""$PLUGIN_DIR""/install/install-agents.sh --check --user # または ""$PLUGIN_DIR""/install/install-agents.sh --check --repo <repo-path> ```",requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:22-26,
baseline,le-fd7ad0f5fc57bddb,context,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,27,27,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-8538b2d0de48a3d7,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,28,28,ro-5d67dcfa1cfa14e2,rf-81eabeff470fb8e4,4. 未インストールなら、同じ scope で `--check` を外して実行する。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: 4. 未インストールなら、同じ scope で `--check` を外して実行する。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:28-28,
baseline,le-f1a2877cd87fe4d6,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,29,29,ro-cbfe9c1a7eec75c9,rf-6ebab19dd292e859,5. 既存版と同梱版が同一で内容も一致する場合は、変更せず最新であると報告する。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: 5. 既存版と同梱版が同一で内容も一致する場合は、変更せず最新であると報告する。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:29-29,
baseline,le-f5b6943477a6aec6,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,30,32,ro-27c52a0ba8af4f46,rf-0c383d6d027d41b9,6. バージョンまたは内容が異なる場合は、installed version、bundled version、対象 directory を ユーザーへ提示し、上書きしてよいか明示的に確認する。ユーザーが更新や上書きを依頼済みでも、 この確認を省略しない。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: 6. バージョンまたは内容が異なる場合は、installed version、bundled version、対象 directory を ユーザーへ提示し、上書きしてよいか明示的に確認する。ユーザーが更新や上書きを依頼済みでも、 この確認を省略しない。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:30-32,
baseline,le-d6705f4d7a01a27c,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,33,33,ro-5673bee38c04d40e,rf-0d331ca604c4c000,7. 承認された場合だけ、同じ scope へ `--force` を付けて実行する。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: 7. 承認された場合だけ、同じ scope へ `--force` を付けて実行する。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:33-33,
baseline,le-c92c6cf663c34e3e,context,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,34,34,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-cc393cb7b9ba2a0e,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,35,39,ro-0284481a324dac4a,rf-6bdbcf4b224a378c,"```bash ""$PLUGIN_DIR""/install/install-agents.sh --force --user # または ""$PLUGIN_DIR""/install/install-agents.sh --force --repo <repo-path> ```",deterministic-contract-only,platform installer skill,"platform installer skill applies the `手順` obligation summarized as: ```bash ""$PLUGIN_DIR""/install/install-agents.sh --force --user # または ""$PLUGIN_DIR""/install/install-agents.sh --force --repo <repo-path> ```",requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:35-39,
baseline,le-2139c7b9cf39a721,context,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,40,40,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-245538807b354a71,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,41,42,ro-69b9124fae4892b9,rf-19627582362cc8f8,8. 完了後は Codex の再起動を依頼し、この session では委譲計画や実装へ進まない。再起動後に custom agent の一覧を再確認する。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: 8. 完了後は Codex の再起動を依頼し、この session では委譲計画や実装へ進まない。再起動後に custom agent の一覧を再確認する。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:41-42,
baseline,le-151b136f5d8baca5,context,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,43,43,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-e5aa1753bb3af82b,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,44,45,ro-a6add379055d4705,rf-43ba10be4bb3beef,`--check` が終了コード `3` を返すのは、未インストールまたは更新候補があることを示す。 エラーとして扱わず、表示された状態に従って上記手順を続ける。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: `--check` が終了コード `3` を返すのは、未インストールまたは更新候補があることを示す。 エラーとして扱わず、表示された状態に従って上記手順を続ける。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:44-45,
baseline,le-fed2a942f1e0d773,rule,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,1,7,ro-e6951bada4c267f5,rf-458fa30e1af98fd6,--- name: install-plugin description: >- Tugite の Cursor local plugin を user scope にインストール、バージョン確認、更新する。 ユーザーが plugin の導入、再インストール、バージョン確認、更新、上書きを明示的に依頼した場合に使う。 既存インストールを確認なしで上書きしない。symlink は使わない。 ---,deterministic-mechanized,platform installer skill,platform installer skill applies the `document root` obligation summarized as: --- name: install-plugin description: >- Tugite の Cursor local plugin を user scope にインストール、バージョン確認、更新する。 ユーザーが plugin の導入、再インストール、バージョン確認、更新、上書きを明示的に依頼した場合に使う。 既存インストールを確認なしで上書きしない。symlink は使わない。 ---,requested install scope and observed platform state for `document root`,installer observation/confirmation/execution boundary in `document root`,existing deterministic source projection and metadata/contract validation,Gunte predicate/contract or platform metadata loader,Gunte predicate/contract or platform metadata loader,keep,,the `document root` structured block is consumed or byte-validated as one coherent Data unit,,
baseline,le-35ccc81d65c3e9dc,context,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,8,8,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-d8d2cdfcd0031382,context,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,9,9,,,# Cursor plugin のインストール,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-8b40ce3c5841c285,context,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,10,10,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-c9a05e2114595962,rule,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,11,13,ro-0ee3feadd753bda3,rf-2fb2ede482e178c5,plugin に同梱された `install/install-plugin.sh`（Linux / macOS / WSL / Git Bash）または `install/install-plugin.ps1`（Windows PowerShell）を唯一のインストール処理として使う。 `plugins/cursor` を手で copy したり symlink したりしない。,deterministic-contract-only,platform installer skill,platform installer skill applies the `Cursor plugin のインストール` obligation summarized as: plugin に同梱された `install/install-plugin.sh`（Linux / macOS / WSL / Git Bash）または `install/install-plugin.ps1`（Windows PowerShell）を唯一のインストール処理として使う。 `plugins/cursor` を手で copy したり symlink したりしない。,requested install scope and observed platform state for `Cursor plugin のインストール`,installer observation/confirmation/execution boundary in `Cursor plugin のインストール`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `Cursor plugin のインストール`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `Cursor plugin のインストール` has no current mechanism consuming requested install scope and observed platform state for `Cursor plugin のインストール` at installer observation/confirmation/execution boundary in `Cursor plugin のインストール`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/cursor/skills/install-plugin/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/cursor/skills/install-plugin/SKILL.md:11-13,
baseline,le-520fe755707db119,context,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,14,14,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-fe9102c57364258b,context,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,15,15,,,## 手順,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-f5bb5c32b923851a,context,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,16,16,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-4d30945e7547116b,rule,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,17,18,ro-9da891884b4b4df7,rf-e600a36d8fcc79be,1. plugin root（`install/` と `skills/` を含む directory）を確定する。導入済みなら通常は `~/.cursor/plugins/local/tugite`。repository checkout を検証中なら `plugins/cursor`。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: 1. plugin root（`install/` と `skills/` を含む directory）を確定する。導入済みなら通常は `~/.cursor/plugins/local/tugite`。repository checkout を検証中なら `plugins/cursor`。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/cursor/skills/install-plugin/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/cursor/skills/install-plugin/SKILL.md:17-18,
baseline,le-6f94426def072c2a,rule,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,19,19,ro-a863c668cb2f25f3,rf-2032c65074ebcee0,2. 対象は user scope のみとする。`--user` / `-User` を使う。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: 2. 対象は user scope のみとする。`--user` / `-User` を使う。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/cursor/skills/install-plugin/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/cursor/skills/install-plugin/SKILL.md:19-19,
baseline,le-e5b6e598b1e2223c,rule,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,20,20,ro-31352c8a34309ac0,rf-d00df8f02e4ca8f8,3. OS に応じて installer を選ぶ。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: 3. OS に応じて installer を選ぶ。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/cursor/skills/install-plugin/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/cursor/skills/install-plugin/SKILL.md:20-20,
baseline,le-fd68c60dc266109a,context,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,21,21,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-eac33df3d17dfe08,rule,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,22,22,ro-5e3a62b99ccc6259,rf-3e80bc5b04a61d83,- Unix 系（Linux / macOS / WSL / Git Bash）: `install/install-plugin.sh`,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: - Unix 系（Linux / macOS / WSL / Git Bash）: `install/install-plugin.sh`,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/cursor/skills/install-plugin/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/cursor/skills/install-plugin/SKILL.md:22-22,
baseline,le-2299c76d74c4534a,rule,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,23,23,ro-12e95a141bcaf044,rf-ae20415ac4265d44,- Windows PowerShell: `install/install-plugin.ps1`,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: - Windows PowerShell: `install/install-plugin.ps1`,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/cursor/skills/install-plugin/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/cursor/skills/install-plugin/SKILL.md:23-23,
baseline,le-a3017f0d23f3edb0,context,plugins/cursor/skills/install-plugin/SKILL.md,05149ccd97008f2eee8b62ad9672167951a987cdaf40ee4dd5e5fe0b7ddb1fba,24,24,,,,,,,,,,,,context,,,,blank separator between semantic blocks
