record_id,registry,predicate_id,kind,slice_or_path,invariant,current_validation_plane,final_validation_plane,heuristic_flag,disposition,rationale,applicable_mutation_or_nonapplicable_reason,replacement_ids,baseline_identity,final_identity
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-60ee65193247,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-60ee65193247,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: mutation 前に Resolution Batch 全体を裁定する純粋な Calculation とし、adjudication 中に artifact または working state を 変更しない。origin veri…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A/D-1: all points are adjudicated with conflicts/dependencies resolved before mutation.,,61a7b056d00b495f457de6c759871c73190a0c3b:cfa0a0a67170982058a9a68ce0025ccddb04de4579c6c494b651c4a17d5c0898,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-760409d8c6d9,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-760409d8c6d9,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: 成功済み partition は rollback しない。後続 partition の成功がなければ成立しない変更は同じ partition に入れる。 後から先行 partition 単独では成立しないと判明した場合、partit…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: G/H: successful partitions are not transaction-wide rolled back and dependent changes share a partition.,,61a7b056d00b495f457de6c759871c73190a0c3b:f14bd55b7e5656b5cbe6049b3ef438a915600bc4103bfd3e0738b92644d613eb,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-8bbd6e1f2b66,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-8bbd6e1f2b66,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: default は single partition とする。partition は execution と verification の boundary であり conflict 解決手段ではなく、 point 数や編集量だけでは…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,"Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A/G/H: partitioning follows promotable dependency/verification boundaries, not point count.",,61a7b056d00b495f457de6c759871c73190a0c3b:caf35baf81aee7c27f3394ca120dc71ef3eec863752c4538b55e6c53aebbcb22,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-8bf1d3662dac,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-8bf1d3662dac,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: `Resolution Batch` は、一つの origin verified snapshot に束縛され、Resolution Transaction の開始時までに観測済みの Resolution Point の固定集合である…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A/C: Batch membership is fixed to one origin snapshot before the transaction and mixed snapshots are rejected.,,61a7b056d00b495f457de6c759871c73190a0c3b:06b2f0d9c3a0065ab3477fa79798b3d25c2b54a00b37bace0325ff6f8ef1c6a7,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-8d7ed3234ce3,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-8d7ed3234ce3,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: `working state` は、一つの selected partition を current verified snapshot へ apply している未検証状態である。verify 前に current verified …,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: D-2/D-3: unverified working state is not promoted or used as the next partition baseline.,,61a7b056d00b495f457de6c759871c73190a0c3b:0cd39191cd72ecfaabeb77a39a301b3b70d29e3c8da326a32ae9d4a92347313c,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-8fd07c7ece81,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-8fd07c7ece81,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: caller は invocation boundary、resolver と counterpart の mapping、authority、execution bound、verification criteria、 既存の ve…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,"Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A/F: caller retains authority, execution bound, vocabulary, ledger, return boundary, and completion.",,61a7b056d00b495f457de6c759871c73190a0c3b:3777722cf7b6dd220fb34bdb5c4f395770b38aaeff0e7e0ea231415fadc41930,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-94dd2f416ad4,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-94dd2f416ad4,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: apply の入力は個々の point ではなく selected partition とし、partition 全体を満たす coherent revision として working state へ反映する。point ごとの p…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A: a selected partition is applied as one coherent revision without adding scope.,,61a7b056d00b495f457de6c759871c73190a0c3b:f2d6e5aebd2a5b6ff1ec0d474f978dd5389c0d544f7f8e8fc973db81dc76ff83,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-9a0c2283058a,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-9a0c2283058a,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: この Kernel の適用可能性は caller 名ではなく、counterpart model と snapshot coherence で決める。一つの Resolution Batch の全 Resolution Point が…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A/C: applicability is selected by counterpart model and snapshot coherence; binding or incremental observation is rejected.,,61a7b056d00b495f457de6c759871c73190a0c3b:d34b776da6718d429b27e2760558870c4b868ff673248cd217197f90864eb513,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-ac7ed077a750,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-ac7ed077a750,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: 通常の adjudication は mutation 前に一度だけ行う。ただし apply、verify、isolate、applicability check から transaction 内で新しい execution evid…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: I: only transaction execution evidence can revise origin-Batch points; no new point/frontier is created.,,61a7b056d00b495f457de6c759871c73190a0c3b:03445c9dd50d72f37535de1843d3da19d8b19f56037ea6406c22abee7f258c2f,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-bf25f17cf36c,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-bf25f17cf36c,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: isolate は diagnostic operation である。全 subset の diagnostic apply と verify は、failing partition が失敗する直前の current verified…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: H: every diagnostic subset starts from the same verified isolation baseline and is never promoted.,,61a7b056d00b495f457de6c759871c73190a0c3b:7840268c43c65480de8678dbf58bec54183d12ee37f3156abde1b507ba896340,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-c151425c26b4,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-c151425c26b4,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: Kernel identity: `batch-resolve-kernel-v1`. Kernel dependencies: `none`.,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:85ebb01368c82101190fb40b0e668bd8d199c89c44cfc27382597eb49ba14754,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:85ebb01368c82101190fb40b0e668bd8d199c89c44cfc27382597eb49ba14754
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-c8d0ffc9e2bf,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-c8d0ffc9e2bf,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: transaction 開始時の adjudication baseline は origin verified snapshot、caller-supplied evidence、origin-bound Resolution Ba…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: I: adjudication baseline is fixed and external evidence is returned rather than mixed into the transaction.,,61a7b056d00b495f457de6c759871c73190a0c3b:d9488c80376013cbda323fb94d104e53db73de4a7a1422285dd3bb51590f284b,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-f59a16ec7149,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-f59a16ec7149,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: authority が不足する point を selected set に入れず、その point から独立して安全に処理できる他 point は自動停止 させない。authority 未確定 point と selected po…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A/I: authority gaps do not invent status/schema/rounds or force unrelated independent points to stop.,,61a7b056d00b495f457de6c759871c73190a0c3b:c9ce129c988a55a0e38934ad295e6a0c0d1e0211b6f5c78e7dfd374230e9d305,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-fa405f846f02,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-fa405f846f02,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: `Resolution Point` は、caller が Resolution Transaction で裁定対象として供給する個々の論点である。finding、insight、 suggestion などの caller 固有語彙…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A/B: caller findings map to existing Resolution Points without a new point schema.,,61a7b056d00b495f457de6c759871c73190a0c3b:44355a02478d16e0634360221c61f72bc05078419d2a6ee0657873c0b7463ca3,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-fee37e0a8fd9,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-fee37e0a8fd9,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: verify success に加えて selected obligation に対する semantic progress を確認した場合だけ working state を current verified snapshot へ …,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A/G: promotion requires verify success and caller-owned semantic progress; diff alone is insufficient.,,61a7b056d00b495f457de6c759871c73190a0c3b:d60e3506b25105b7470e7def69091fd30357154dbc96efcba2b896b59f4a88b6,absent
baseline:contracts/impl-lead.toml:final-writing-remediation-forbids-5e94eb370949,contracts/impl-lead.toml,final-writing-remediation-forbids-5e94eb370949,forbids,slice:final-writing-remediation,slice:final-writing-remediation excludes forbidden witness: 全 finding の固定 loop,Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:bfe4240a1b5a86a9f7cbffd5dedf72b510d8e28f04a8602707c4134c8ae7ada5,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:bfe4240a1b5a86a9f7cbffd5dedf72b510d8e28f04a8602707c4134c8ae7ada5
baseline:contracts/impl-lead.toml:final-writing-remediation-forbids-a3252e730491,contracts/impl-lead.toml,final-writing-remediation-forbids-a3252e730491,forbids,slice:final-writing-remediation,slice:final-writing-remediation excludes forbidden witness: review-patch-refactorer,Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:3df9c6c4f78d78c98c16b988a52a25e5e5b7c481be49f3baac85ffbd908ac500,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:3df9c6c4f78d78c98c16b988a52a25e5e5b7c481be49f3baac85ffbd908ac500
baseline:contracts/impl-lead.toml:final-writing-remediation-forbids-dfc45d5af397,contracts/impl-lead.toml,final-writing-remediation-forbids-dfc45d5af397,forbids,slice:final-writing-remediation,slice:final-writing-remediation excludes forbidden witness: fixed patch agent,Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:1f69bc53e8f8920a03e030383a361e9ebce3bbb36f2d0d90a3f1296cc19f8088,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:1f69bc53e8f8920a03e030383a361e9ebce3bbb36f2d0d90a3f1296cc19f8088
baseline:contracts/impl-lead.toml:final-writing-remediation-requires-0ffe47a66ac3,contracts/impl-lead.toml,final-writing-remediation-requires-0ffe47a66ac3,requires,slice:final-writing-remediation,slice:final-writing-remediation contains required witness: same-run accept exception,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:51f7d358ad83ff7ec18c071dd58db660e41b7d425b05dddcdffa7834363670ce,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:51f7d358ad83ff7ec18c071dd58db660e41b7d425b05dddcdffa7834363670ce
baseline:contracts/impl-lead.toml:final-writing-remediation-requires-3d02034ce816,contracts/impl-lead.toml,final-writing-remediation-requires-3d02034ce816,requires,slice:final-writing-remediation,slice:final-writing-remediation contains required witness: before/after identity,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:7fecc50e5e32807d42c53eb89963e86531035bbabacf27933198d1405d0106a9,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:7fecc50e5e32807d42c53eb89963e86531035bbabacf27933198d1405d0106a9
baseline:contracts/impl-lead.toml:final-writing-remediation-requires-4e3a0feb7633,contracts/impl-lead.toml,final-writing-remediation-requires-4e3a0feb7633,requires,slice:final-writing-remediation,slice:final-writing-remediation contains required witness: single writer,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:592ff8c198479dfd77dc65274bde1598b7fc40f46a6e2c293e6952108dc7149c,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:592ff8c198479dfd77dc65274bde1598b7fc40f46a6e2c293e6952108dc7149c
baseline:contracts/impl-lead.toml:final-writing-remediation-requires-562450be2674,contracts/impl-lead.toml,final-writing-remediation-requires-562450be2674,requires,slice:final-writing-remediation,slice:final-writing-remediation contains required witness: `depends_on`,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:bead0047d2bfb7794128067699708d683b74cacaaeb77e2d6725ac9a1de10871,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:bead0047d2bfb7794128067699708d683b74cacaaeb77e2d6725ac9a1de10871
baseline:contracts/impl-lead.toml:final-writing-remediation-requires-5fd5573f6598,contracts/impl-lead.toml,final-writing-remediation-requires-5fd5573f6598,requires,slice:final-writing-remediation,slice:final-writing-remediation contains required witness: mandatory final writing review,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:6516d333221f9c54a607a4e8974acad823b6574246ab766fc038b5811986a914,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:6516d333221f9c54a607a4e8974acad823b6574246ab766fc038b5811986a914
baseline:contracts/impl-lead.toml:final-writing-remediation-requires-71697deb87bc,contracts/impl-lead.toml,final-writing-remediation-requires-71697deb87bc,requires,slice:final-writing-remediation,slice:final-writing-remediation contains required witness: finding Data,Gunte requires,Gunte bounded requires,no,keep-bounded,The bounded atomic witness remains a deterministic literal inside its slice and does not require the surrounding paragraph.,Remove or reverse the atomic witness inside its slice; the same predicate must fail. Rewording outside the bounded witness is nonapplicable.,,61a7b056d00b495f457de6c759871c73190a0c3b:dd691f4d8738a4c831b76641249a5589c5c49f942b2bc377902f5302b3e98dd1,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:dd691f4d8738a4c831b76641249a5589c5c49f942b2bc377902f5302b3e98dd1
